ASH	26.859069	80.917826
ASI	27.243300	80.394100
ASJP	25.560407	84.410019
ASK	13.314200	76.251800
ASKN	24.580200	77.726800
ASKR	22.826500	88.628500
ASL	23.229600	75.615200
ASLU	28.369048	75.074902
ASN	23.691101	86.974812
ASNE	23.686032	86.990776
ASO	19.439200	73.307800
ASP	15.455000	77.356400
ASR	31.631752	74.858265
ASSH	26.836058	80.908586
AST	28.251318	77.324009
ASV	23.043721	72.612677
AT	14.876276	74.147673
ATA	26.067500	79.651100
ATB	10.578700	79.640700
ATC	17.418400	78.519900
ATE	25.291200	80.576300
ATG	19.467700	73.300300
ATH	25.161000	76.307100
ATKS	27.135200	80.280400
ATL	25.453300	85.623100
ATM	26.607700	88.946300
ATMO	29.805100	78.041300
ATNR	25.764700	84.957100
ATP	14.686228	77.595062
ATPA	33.894678	74.981861
ATQ	10.171671	79.003029
ATR	21.998764	76.204948
ATRR	25.316600	82.314500
ATRU	24.882000	76.670100
ATS	21.387800	83.792400
ATT	31.594400	74.606700
ATU	11.595068	78.592372
ATUL	20.548200	72.927900
ATW	27.273970	80.415459
ATX	25.842694	87.347660
AUB	26.269481	88.185410
AUBR	24.855500	84.329400
AUI	25.822500	87.134500
AUL	27.705500	78.444400
AUN	29.044315	75.974922
AUNG	26.164200	80.544500
AUR	28.081712	78.206949
AUS	28.965400	75.200500
AUWA	25.665047	73.564453
AV	19.817400	73.751100
AVC	14.498259	75.854133
AVD	13.118017	80.100288
AVK	11.359400	76.769500
AVL	21.077012	71.679311
AVLI	16.620000	81.598600
AVN	13.050884	79.567730
AVP	21.052623	81.745319
AVRD	17.316431	73.538060
AVS	9.036800	76.853100
AVT	13.298800	77.726400
AWB	19.859566	75.310936
AWG	27.463900	78.473100
AWH	20.388400	79.710600
AWL	31.425500	75.642500
AWM	17.821000	80.801000
AWP	28.939900	78.703200
AWPR	26.508676	85.652676
AWR	27.559493	76.621485
AWS	27.159600	84.051900
AWT	8.602000	77.941500
AWY	10.107900	76.356200
AXA	22.585800	70.916900
AXK	26.525800	78.556100
AXR	14.710400	79.988900
AY	26.787874	82.200694
AYB	16.877818	75.757856
AYD	11.966900	79.341000
AYI	10.242163	79.124737
AYM	10.757000	79.680900
AYN	10.788700	78.929100
AYR	10.483300	78.157000
AYRN	25.696300	85.280100
AYU	26.356900	90.642000
AYV	8.981200	77.152900
AYVN	8.955414	77.134661
AZ	24.218553	88.256264
AZA	26.099030	91.613617
AZK	8.789065	77.375507
AZP	10.896300	79.206700
AZR	25.555700	87.852400
BA	19.054600	72.840600
BAA	24.300900	88.040200
BAAR	22.052312	88.087006
BAB	25.238200	78.452100
BABR	16.947700	78.189000
BAC	22.666888	88.137753
BAD	27.395800	77.689500
BADH	25.297926	85.423850
BADK	29.074000	77.273700
BADR	21.364770	70.928679
BAE	29.928400	77.633600
BAF	27.342900	72.384200
BAGA	27.677200	75.720900
BAGD	20.439560	72.916946
BAGJ	26.919315	83.907566
BAGL	25.764900	84.906600
BAH	24.064980	71.615474
